识别领域 语音识别领域
风险 消除风险
时间 保护数据时间
云通信 端云通信
安全防御 云模式安全防御框架
网络层 网络层安全
视觉 视觉特性抽取
制造 微芯片制造
规模数据 小规模数据集
数字信号处理 分布式数字信号处理
计算 协同性计算
信特征 平台可信特征
内存 内存计算架构
服务系统 构建服务系统
普适计算 普适计算范式
操作系统 实例操作系统
方向 传奇性
流程 产品设计流程
大数据 积累大数据
能源 能源感知计算
轻量级分组密码 轻量级分组密码算法
组织 组织延迟
网络流 网络流量比较
信息自动推荐 推荐
艺术 信息艺术设计交叉学科
方向 前沿技术方向
改善 改善人机交互
并行处理 并行处理能力
性能 本地性能
链上代码 链上代码模式
移动对象管理 不确定性移动对象管理
多新 多新颖
用户 用户任务绩效
数据流 数据流方程
试验 大规模试验平台
电脑 用户电脑
移动终端隐私数据分级 数据
方向 融合性
互联网 表达产业互联网
称号 美国经济学家
流程 互联网地理空间信息挖掘流程
数据赋予生命 数据
电视 立体电视视频编码
解法 融合式解法
语言设计者 称号
影响战争形态演变 影响战争
计算引擎 图计算引擎
有效协调网络资源 有效协调
信息安全 信息安全数学基础
信息系统 智能诊断信息系统
入侵检测 后入侵检测
均匀 均匀流量
网络框架 图神经网络框架
实时控制 高速网络实时控制网络另一端
传感器 分层传感器网络
万维网 智能万维网
高昂 运作维护高昂成本
识别 识别风险
模块 关键词识别模块
参数 参数化三角网格
脉冲神经网络的学习算法 脉冲神经网络的学习
方向 集约化
速度 网络接入速度
深度语义解析 语义
网络 网络传输成本
称号 日本蛋白质探索者
核心技术 核心技术领域
超级计算系统 计算系统
预测 预测视频质量
方向 平台异构性
数据 行为监测数据
计算机体系结构领域 计算机体系结构
读取 读取思维
拟化 虚拟化服务
体系结构 体系结构研究实现高效
验证 路径验证结构
发生器 信号发生器
标注 标注样本
通用计算机 通用计算机领域
公交车路线 公交车路线规划
对象 簇集对象
融合多模态数据 数据
测量 测量用户
汉语 汉语信息处理
流程 协议无感知转发流程
通讯 通讯架构
软件技术 原创性软件技术
培育 培育数据要素市场
生命 生命科学技术
生物 生物特征识别技术
广域网 广域网分布式哈希表存储系统实现方法
文物知识图谱可视化 知识图谱可视化
电阻 电阻值控制
语义集成 语义
业务 业务智能调节
机构组织 网络安全中心
表 表达情感
跟踪 跟踪效率
耦合 耦合关系
监视器 监视器安全模型
半导体量子计算 半导体
教育 教育服务提供机构
能力 社会事务处理能力
绘制 神经绘制
查询 查询中国科学院
三维显示技术 光栅三维显示技术
无线宽频网 宽频网
计算 统一计算
内核 系统内核崩溃
保险 互联网保险行业
几何 中层几何结构
矢量 声学特征矢量
绘制 绘制方程
并用语义 语义
动态软件体系结构 发展动态软件体系结构
数据 基于数据重合度
通路 预防性保护通路
线条表示语义方向 语义方向
函数 全光函数
用户 用户观察视点
模块 挖掘模块
多数据源 数据空间多数据源
数据 数据售卖
非易失性内存 非易失性内存构建低延迟可伸缩计算机系统
情感分 情感分布
参数 空间参数
国家安全 国家安全有限责任公司负责
半导体量子点芯片 体量
关系 相互协作关系
伊利诺伊大学香槟 美国伊利诺伊大学香槟
厂商 国产厂商
青年科学家 称号
多存储资源处理器 多存储资源处理
线性组合 非线性组合
电量 电量资源
描述开放协同环境 开放
保护 用户权益保护
数学领域 主曲率
开会 中国开会
靶标 抑制靶标
部件结构 部件结构推理
异构存储 异构存储资源
大数据 军用大数据
模型 创新模型
有序数据 分析多变量有序数据
联邦 联邦学习分布式智能
结构模型 框架结构模型
码分 安全代码分析工具
高技术领域 抢占高技术领域制高点
海量数据 海量数据特性
航空航天 南京航空航天大学
域名 域名服务模块
授权 未经授权
器件能力 能力
网络 网络信息内容
网络安全 网络安全实践能力
云 工业云
扫描数据重构三维几何模型 三维几何
可信证明 可信
源数据 信息源数据融合
人才 人才帽子
语言 高层次设计语言
器件 功率模式影响器件
密码 分组密码
科研成果 院校科研成果
测试生成 带约束测试生成
架构师 硬件架构师
国家安全 国家安全有限责任公司负责
方法论 知识构建方法论
推荐系统 改善推荐系统
销售 制造商销售
数据 训练数据分成
应用引擎 网络应用引擎
图像 构建图像
服务 长期服务
安全 跨链服务安全
医药 中医药系统
务虚 跨域云服务虚拟机
素材 科幻素材
大数据区块链 大数据
弹性计算系统 计算系统
系统构建 协同系统构建
测试 结构时延测试
表 表征关系
方向 知识性
基础平台 应用安全基础平台
多核 多核嵌入式专用处理器
语义 语义关联挖掘
数据图 检索RDF数据图
教育 计算机课程教学
部门 基础架构部门
定义 定义智能空间
医学影像辅助系统 影像
网络身份 用户网络身份
多媒体领域 中国多媒体领域
应用开发人员 软件应用开发人员
大数据 处理大数据
扫描 识别扫描
跨媒体信息检索 跨媒体信息检索系统
大规模多元化移动学习 移动学习
交互对象 处理交互对象实体
选举条例 理事会选举条例
气候 气候变化
表 计算机表示
营销 营销收入
图像 图像表达形式
互联 移动互联应用
融合机理 碎片化知识拓扑融合机理
管理平台 演化管理平台
知识产权争端解决机制文章 知识产权争端解决机制
充分挖掘 充分挖掘网络
虚拟可视化 虚拟可视化环境
多租户 多租户服务
软硬件 软硬件组合
互联网 平台互联网
服务网站 社会标注服务网站
编码 统计编码
查询语言 索引查询时间表示查询语言
文物 文物数字保护与传承文物数字保护与传承
大学 青海大学
课题 挑战性课题
虚拟机监控器安全 虚拟机监控器安全设计
量子计算攻击 量子计算攻击算法
疫情数据 数据
处理幂律图 幂律图
机理 认知机理
神经网络 理解神经网络
异构计算资源 跨云异构计算资源
时间 冲突检测时间
海量数据 海量数据传输方法
代码 伪代码自动编译生成沙箱容器
机械师约瑟夫 机械
密度 高密度平台架构
助力 神经助力符号
算机 计算机品牌
编程 可编程集成电路
资源 用户资源分离
机制 实验机制
方向 线性弹性
向量 向量空间
工程系 工程系高年级学生
模板 模板攻击分析方法
类型 联合类型
数据 数据转发策略
数据 人脸图像数据
标注Petri网 标注Petri网应用
分析处理 分析处理情报数据
相关性排序学习 相关性排序
物联网 物联网搜索场景
通道 通道动态
数据 数据抽取
图计算 动态图计算
页表 硬件辅助页表
战略 战略性质
数据管理 集成数据管理
机理 发音机理
专利 专利布局时间
称号 优秀青年科学基金获得者
语义相关性判断 语义
行为建模技术 虚拟角色行为建模技术
方向 双模式
安全信息交换机制 安全信息
控制器 闪存控制器
估算 估算信号传播
加速器 控制加速器
趋势 总体趋势
拍卖机制 参数组合拍卖机制
数据库查询语言 关系数据库查询语言
句法语义知识 语义
系统行为 交互作用模拟系统行为
医学影像存档 影像
计算应用 高效能计算应用
分布式持久化存储 持久化存储
半结构数据挖掘 半结构数据挖掘服务
规则 规则网络
群体学习特性 学习特性
算法 信息收集算法
导航 键盘导航
模型 参数化模型生成
路途 判断路途
交换机 交换机队列
计算应用 分布式科学计算应用
编译研究成果集成 集成
启发 神经启发计算
通讯 语音通讯
挖掘 挖掘时空轨迹
预测 预测医院住院病人流
介质 空气传播介质
